duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 8m 20sec.,500.0,2012-01-04 18:26:00,Thomas Circle,31241.0,2012-01-04 18:34:00,Florida Ave & R St NW,31503.0,W00710,Registered,8207
0h 10m 18sec.,618.0,2012-01-04 18:26:00,14th & D St NW / Ronald Reagan Building,31231.0,2012-01-04 18:37:00,21st & M St NW,31212.0,W00238,Registered,8208
0h 9m 14sec.,554.0,2012-01-04 18:26:00,North Capitol St & F St NW,31624.0,2012-01-04 18:36:00,Florida Ave & R St NW,31503.0,W00546,Registered,8209
0h 7m 23sec.,443.0,2012-01-04 18:27:00,14th & G St NW,31238.0,2012-01-04 18:34:00,5th & F St NW,31620.0,W01234,Registered,8210
0h 6m 9sec.,369.0,2012-01-04 18:27:00,Massachusetts Ave & Dupont Circle NW,31200.0,2012-01-04 18:33:00,Thomas Circle,31241.0,W00593,Registered,8211
0h 5m 42sec.,342.0,2012-01-04 18:27:00,37th & O St NW / Georgetown University,31236.0,2012-01-04 18:33:00,Lynn & 19th St North,31014.0,W01240,Registered,8212
0h 6m 53sec.,413.0,2012-01-04 18:27:00,14th & G St NW,31238.0,2012-01-04 18:34:00,5th & F St NW,31620.0,W01327,Registered,8213
0h 7m 39sec.,459.0,2012-01-04 18:28:00,4th St & Massachusetts Ave NW,31604.0,2012-01-04 18:36:00,Thomas Circle,31241.0,W00796,Registered,8214
0h 1m 38sec.,98.0,2012-01-04 18:28:00,16th & U St NW,31229.0,2012-01-04 18:30:00,14th & V St NW,31101.0,W01187,Registered,8215
0h 4m 21sec.,261.0,2012-01-04 18:28:00,21st & M St NW,31212.0,2012-01-04 18:32:00,M St & Pennsylvania Ave NW,31246.0,W00641,Registered,8216
0h 15m 30sec.,930.0,2012-01-04 18:28:00,Metro Center / 12th & G St NW,31230.0,2012-01-04 18:44:00,20th & E St NW,31204.0,W00304,Registered,8217
0h 7m 38sec.,458.0,2012-01-04 18:28:00,M St & Pennsylvania Ave NW,31246.0,2012-01-04 18:36:00,18th St & Pennsylvania Ave NW,31242.0,W00524,Registered,8218
0h 20m 14sec.,1214.0,2012-01-04 18:29:00,18th St & Pennsylvania Ave NW,31242.0,2012-01-04 18:49:00,4th & East Capitol St NE,31618.0,W00029,Registered,8219
0h 0m 4sec.,4.0,2012-01-04 18:30:00,5th & F St NW,31620.0,2012-01-04 18:30:00,5th & F St NW,31620.0,W01195,Registered,8220
